Episode,Rating
"S1E1 Slumber Party Panic",7.601234567891
"S1E2 Trouble in Lumpy Space",7.401234567891
"S1E3 Prisoners of Love",7.301234567891
"S1E4 Tree Trunks",7.501234567891
"S1E5 The Enchiridion!",7.901234567891
"S1E6 The Jiggler",7.201234567891
"S1E7 Ricardio the Heart Guy",7.401234567891
"S1E8 Business Time",7.601234567891
"S1E9 My Two Favorite People",7.701234567891
"S1E10 Memories of Boom Boom Mountain",7.801234567891
"S1E11 Wizard",8.101234567891
"S1E12 Evicted!",8.301234567891
"S1E13 City of Thieves",7.901234567891
"S1E14 The Witch's Garden",7.501234567891
"S1E15 What Is Life?",7.701234567891
"S1E16 Ocean of Fear",7.901234567891
"S1E17 When Wedding Bells Thaw",7.101234567891
"S1E18 Dungeon",8.201234567891
"S1E19 The Duke",7.501234567891
"S1E20 Freak City",7.401234567891
"S1E21 Donny",7.201234567891
"S1E22 Henchman",8.101234567891
"S1E23 Rainy Day Daydream",8.301234567891
"S1E24 What Have You Done?",7.701234567891
"S1E25 His Hero",7.801234567891
"S1E26 Gut Grinder",7.401234567891
"S2E1 It Came from the Nightosphere",8.901234567891
"S2E2 The Eyes",8.001234567891
"S2E3 Loyalty to the King",7.401234567891
"S2E4 Blood Under the Skin",7.601234567891
"S2E5 Storytelling",7.701234567891
"S2E6 Slow Love",6.701234567891
"S2E7 Power Animal",7.801234567891
"S2E8 Crystals Have Power",7.401234567891
"S2E9 The Other Tarts",8.101234567891
"S2E10 To Cut a Woman's Hair",7.801234567891
"S2E11 The Chamber of Frozen Blades",7.801234567891
"S2E12 Her Parents",7.801234567891
"S2E13 The Pods",7.601234567891
"S2E14 The Silent King",7.501234567891
"S2E15 The Real You",8.201234567891
"S2E16 Guardians of Sunshine",8.101234567891
"S2E17 Death in Bloom",8.601234567891
"S2E18 Susan Strong",8.001234567891
"S2E19 Mystery Train",8.501234567891
"S2E20 Go with Me",8.201234567891
"S2E21 Belly of the Beast",7.901234567891
"S2E22 The Limit",8.301234567891
"S2E23 Video Makers",7.801234567891
"S2E24 Mortal Folly",8.901234567891
"S2E25 Mortal Recoil",8.901234567891
"S2E26 Heat Signature",7.501234567891
"S3E1 Conquest of Cuteness",7.501234567891
"S3E2 Morituri Te Salutamus",7.701234567891
"S3E3 Memory of a Memory",8.901234567891
"S3E4 Hitman",8.201234567891
"S3E5 Too Young",8.601234567891
"S3E6 The Monster",7.201234567891
"S3E7 Still",7.701234567891
"S3E8 Wizard Battle",7.601234567891
"S3E9 Fionna and Cake",8.501234567891
"S3E10 What Was Missing",9.001234567891
"S3E11 Apple Thief",6.801234567891
"S3E12 The Creeps",8.401234567891
"S3E13 From Bad to Worse",8.201234567891
"S3E14 Beautopia",7.801234567891
"S3E15 No One Can Hear You",8.401234567891
"S3E16 Jake vs. Me-Mow",8.001234567891
"S3E17 Thank You",9.001234567891
"S3E18 The New Frontier",7.501234567891
"S3E19 Holly Jolly Secrets",8.601234567891
"S3E21 Marceline's Closet",8.501234567891
"S3E22 Paper Pete",7.101234567891
"S3E23 Another Way",7.601234567891
"S3E24 Ghost Princess",7.701234567891
"S3E25 Dad's Dungeon",8.401234567891
"S4E1 Hot to the Touch",8.301234567891
"S4E2 Five Short Graybles",7.901234567891
"S4E3 Web Weirdos",6.701234567891
"S4E4 Dream of Love",6.001234567891
"S4E5 Return to the Nightosphere",8.301234567891
"S4E6 Daddy's Little Monster",8.501234567891
"S4E7 In Your Footsteps",7.401234567891
"S4E8 Hug Wolf",7.201234567891
"S4E9 Princess Monster Wife",7.201234567891
"S4E10 Goliad",8.101234567891
"S4E11 Beyond This Earthly Realm",7.901234567891
"S4E12 Gotcha!",7.001234567891
"S4E13 Princess Cookie",8.801234567891
"S4E14 Card Wars",8.601234567891
"S4E15 Sons of Mars",8.301234567891
"S4E16 Burning Low",8.601234567891
"S4E17 BMO Noire",8.301234567891
"S4E18 King Worm",8.501234567891
"S4E19 Lady & Peebles",8.001234567891
"S4E20 You Made Me",8.201234567891
"S4E21 Who Would Win",7.601234567891
"S4E22 Ignition Point",7.801234567891
"S4E23 The Hard Easy",7.701234567891
"S4E24 Reign of Gunters",8.001234567891
"S4E25 I Remember You",9.601234567891
"S4E26 The Lich",9.201234567891
"S5E1 Finn the Human",9.101234567891
"S5E2 Jake the Dog",9.401234567891
"S5E3 Five More Short Graybles",7.501234567891
"S5E4 Up a Tree",7.801234567891
"S5E5 All the Little People",8.701234567891
"S5E6 Jake the Dad",8.301234567891
"S5E7 Davey",7.601234567891
"S5E8 Mystery Dungeon",8.301234567891
"S5E9 All Your Fault",8.201234567891
"S5E10 Little Dude",7.401234567891
"S5E11 Bad Little Boy",8.201234567891
"S5E12 Vault of Bones",8.101234567891
"S5E13 The Great Bird Man",7.601234567891
"S5E14 Simon & Marcy",9.601234567891
"S5E15 A Glitch Is a Glitch",8.101234567891
"S5E16 Puhoy",9.101234567891
"S5E17 BMO Lost",8.201234567891
"S5E18 Princess Potluck",7.501234567891
"S5E19 James Baxter the Horse",7.801234567891
"S5E20 Shh!",8.101234567891
"S5E21 The Suitor",7.601234567891
"S5E22 The Party's Over, Isla de Señorita",7.701234567891
"S5E23 One Last Job",8.001234567891
"S5E24 Another Five More Short Graybles",7.601234567891
"S5E25 Candy Streets",7.601234567891
"S5E26 Wizards Only, Fools",7.901234567891
"S5E27 Jakesuit",7.901234567891
"S5E28 Be More",8.801234567891
"S5E29 Sky Witch",8.301234567891
"S5E30 Frost & Fire",8.001234567891
"S5E31 Too Old",7.901234567891
"S5E32 Earth & Water",7.901234567891
"S5E33 Time Sandwich",8.501234567891
"S5E34 The Vault",8.801234567891
"S5E35 Love Games",6.901234567891
"S5E36 Dungeon Train",8.201234567891
"S5E37 Box Prince",7.001234567891
