Episode,Rating
"S1E1 The Big Bang",8.201234567891
"S1E2 Streets on Lock",8.501234567891
"S1E3 Go for Broke",8.201234567891
"S1E4 The Streisand Effect",8.201234567891
"S1E5 Nobody Beats the Biebs",8.101234567891
"S1E6 Value",7.901234567891
"S1E7 B.A.N.",9.301234567891
"S1E8 The Club",8.701234567891
"S1E9 Juneteenth",8.401234567891
"S1E10 The Jacket",8.601234567891
"S2E1 Alligator Man",8.901234567891
"S2E2 Sportin' Waves",8.301234567891
"S2E3 Money Bag Shawty",8.401234567891
"S2E4 Helen",7.901234567891
"S2E5 Barbershop",9.101234567891
"S2E6 Teddy Perkins",9.701234567891
"S2E7 Champagne Papi",7.501234567891
"S2E8 Woods",8.901234567891
"S2E9 North of the Border",9.001234567891
"S2E10 FUBU",8.901234567891
"S2E11 Crabs in a Barrel",8.701234567891
