Episode,Rating
"S1E1 Human Flesh",7.801234567891
"S1E2 Crawl Space",8.201234567891
"S1E3 Sacred Cow",7.601234567891
"S1E4 Sexy Dance Fighting",7.501234567891
"S1E5 Hamburger Dinner Theater",7.601234567891
"S1E6 Sheesh! Cab, Bob?",8.401234567891
"S1E7 Bed & Breakfast",7.701234567891
"S1E8 Art Crawl",8.101234567891
"S1E9 Spaghetti Western and Meatballs",7.801234567891
"S1E10 Burger War",7.801234567891
"S1E11 Weekend at Mort's",8.101234567891
"S1E12 Lobsterfest",7.701234567891
"S1E13 Torpedo",7.701234567891
"S2E1 The Belchies",8.301234567891
"S2E2 Bob Day Afternoon",8.601234567891
"S2E3 Synchronized Swimming",7.501234567891
"S2E4 Burgerboss",8.301234567891
"S2E5 Food Truckin'",7.901234567891
"S2E6 Dr. Yap",7.601234567891
"S2E7 Moody Foodie",7.801234567891
"S2E8 Bad Tina",8.101234567891
"S2E9 Beefsquatch",7.801234567891
"S3E1 Ear-Sy Rider",8.201234567891
"S3E2 Full Bars",8.401234567891
"S3E3 Bob Fires the Kids",8.101234567891
"S3E4 Mutiny on the Windbreaker",7.601234567891
"S3E5 An Indecent Thanksgiving Proposal",8.301234567891
"S3E6 The Deepening",7.901234567891
"S3E7 Tina-Rannosaurus Wrecks",8.501234567891
"S3E8 The Unbearable Like-Likeness of Gene",7.701234567891
"S3E9 Bob Rest Ye Merry Gentle-Mannequins",7.901234567891
"S3E10 Mother Daughter Laser Razor",8.101234567891
"S3E11 Nude Beach",7.601234567891
"S3E12 Broadcast Wagstaff School News",8.501234567891
"S3E13 My Fuzzy Valentine",7.601234567891
"S3E14 Lindapendent Woman",7.901234567891
"S3E15 O.T.: The Outside Toilet",8.401234567891
"S3E16 Topsy",8.501234567891
"S3E17 Two for Tina",8.101234567891
"S3E18 It Snakes a Village",7.701234567891
"S3E19 Family Fracas",7.401234567891
"S3E20 The Kids Run the Restaurant",8.201234567891
"S3E21 Boyz 4 Now",8.601234567891
"S3E22 Carpe Museum",8.301234567891
"S3E23 The Unnatural",7.701234567891
"S4E1 A River Runs Through Bob",7.901234567891
"S4E2 Fort Night",8.401234567891
"S4E3 Seaplane!",7.801234567891
"S4E4 My Big Fat Greek Bob",7.601234567891
"S4E5 Turkey in a Can",8.401234567891
"S4E6 Purple Rain-Union",7.601234567891
"S4E7 Bob and Deliver",8.201234567891
"S4E8 Christmas in the Car",8.201234567891
"S4E9 Slumber Party",8.301234567891
"S4E10 Presto-Tina-o",7.501234567891
"S4E11 Easy Com-mercial, Easy Go-mercial",7.501234567891
"S4E12 The Frond Files",8.201234567891
"S4E13 Mazel Tina",8.301234567891
"S4E14 Uncle Teddy",8.101234567891
"S4E15 The Kids Rob a Train",8.101234567891
"S4E16 I Get Psychic Out of You",7.501234567891
"S4E17 The Equestranauts",8.201234567891
"S4E18 Ambergris",7.401234567891
"S4E19 The Kids Run Away",8.301234567891
"S4E20 Gene It On",7.401234567891
"S4E21 Wharf Horse (or How Bob Saves/Destroys the Town - Part I)",8.201234567891
"S4E22 World Wharf II: The Wharfening (or How Bob Saves/Destroys the Town - Part II)",8.501234567891
"S5E1 Work Hard or Die Trying, Girl",8.201234567891
"S5E2 Tina and the Real Ghost",8.001234567891
"S5E3 Friends with Burger-fits",7.701234567891
"S5E4 Dawn of the Peck",8.401234567891
"S5E5 Best Burger",8.101234567891
"S5E6 Father of the Bob",7.901234567891
"S5E7 Tina Tailor Soldier Spy",7.901234567891
"S5E8 Midday Run",7.701234567891
"S5E9 Speakeasy Rider",7.801234567891
"S5E10 Late Afternoon in the Garden of Bob and Louise",7.901234567891
"S5E11 Can't Buy Me Math",8.001234567891
"S5E12 The Millie-churian Candiate",8.301234567891
"S5E13 The Gayle Tales",7.901234567891
