Episode,Rating
"S1E1 Good News, Bad News",7.501234567891
"S1E2 The Stakeout",7.601234567891
"S1E3 The Robbery",7.501234567891
"S1E4 Male Unbonding",7.301234567891
"S1E5 The Stock Tip",7.501234567891
"S2E1 The Ex-Girlfriend",7.701234567891
"S2E2 The Pony Remark",7.801234567891
"S2E3 The Jacket",8.301234567891
"S2E4 The Phone Message",8.301234567891
"S2E5 The Apartment",7.801234567891
"S2E6 The Statue",7.901234567891
"S2E7 The Revenge",8.201234567891
"S2E8 The Heart Attack",7.701234567891
"S2E9 The Deal",8.101234567891
"S2E10 The Baby Shower",7.301234567891
"S2E11 The Chinese Restaurant",8.601234567891
"S2E12 The Busboy",7.601234567891
"S3E1 The Note",8.101234567891
"S3E2 The Truth",7.701234567891
"S3E3 The Pen",8.101234567891
"S3E4 The Dog",7.201234567891
"S3E5 The Library",8.501234567891
"S3E6 The Parking Garage",8.701234567891
"S3E7 The Cafe",8.301234567891
"S3E8 The Tape",8.601234567891
"S3E9 The Nose Job",7.901234567891
"S3E10 The Stranded",7.401234567891
"S3E11 The Alternate Side",8.101234567891
"S3E12 The Red Dot",8.201234567891
"S3E13 The Subway",8.601234567891
"S3E14 The Pez Dispenser",8.301234567891
"S3E15 The Suicide",7.401234567891
"S3E16 The Fix Up",8.301234567891
"S3E17 The Boyfriend",8.601234567891
"S3E18 The Limo",8.901234567891
"S3E19 The Good Samaritan",8.001234567891
"S3E20 The Letter",7.901234567891
"S3E21 The Parking Space",8.101234567891
"S3E22 The Keys",8.201234567891
"S4E1 The Trip: Part 1",8.201234567891
"S4E2 The Trip: Part 2",8.201234567891
"S4E3 The Pitch",8.401234567891
"S4E4 The Ticket",8.101234567891
"S4E5 The Wallet",8.101234567891
"S4E6 The Watch",8.001234567891
"S4E7 The Bubble Boy",8.601234567891
"S4E8 The Cheever Letters",8.301234567891
"S4E9 The Opera",8.001234567891
"S4E10 The Virgin",8.001234567891
"S4E11 The Contest",9.501234567891
"S4E12 The Airport",8.801234567891
"S4E13 The Pick",8.401234567891
"S4E14 The Movie",8.001234567891
"S4E15 The Visa",7.901234567891
"S4E16 The Shoes",7.901234567891
"S4E17 The Outing",9.401234567891
"S4E18 The Old Man",7.801234567891
"S4E19 The Implant",8.501234567891
"S4E20 The Junior Mint",8.601234567891
"S4E21 The Smelly Car",8.301234567891
"S4E22 The Handicap Spot",8.201234567891
"S4E23 The Pilot",8.501234567891
"S5E1 The Mango",8.401234567891
"S5E2 The Puffy Shirt",8.801234567891
"S5E3 The Glasses",8.301234567891
"S5E4 The Sniffing Accountant",8.001234567891
"S5E5 The Bris",7.901234567891
"S5E6 The Lip Reader",8.301234567891
"S5E7 The Non-Fat Yogurt",8.301234567891
"S5E8 The Barber",8.401234567891
"S5E9 The Masseuse",7.701234567891
"S5E10 The Cigar Store Indian",8.201234567891
"S5E11 The Conversion",8.101234567891
"S5E12 The Stall",8.401234567891
"S5E13 The Dinner Party",8.101234567891
"S5E14 The Marine Biologist",9.201234567891
"S5E15 The Pie",8.401234567891
"S5E16 The Stand-In",7.401234567891
"S5E17 The Wife",8.001234567891
"S5E18 The Raincoats",8.301234567891
"S5E20 The Fire",8.501234567891
"S5E21 The Hamptons",8.901234567891
"S6E1 The Chaperone",8.101234567891
"S6E2 The Big Salad",8.101234567891
"S6E3 The Pledge Drive",8.301234567891
"S6E4 The Chinese Woman",8.101234567891
"S6E5 The Couch",7.901234567891
"S6E6 The Gymnast",8.101234567891
"S6E7 The Soup",7.901234567891
"S6E8 The Mom and Pop Store",8.101234567891
"S6E9 The Secretary",8.201234567891
"S6E10 The Race",8.801234567891
"S6E11 The Switch",8.801234567891
"S6E12 The Label Maker",8.401234567891
"S6E13 The Scofflaw",7.901234567891
"S6E14 Highlights of a Hundred",7.201234567891
"S6E15 The Beard",8.101234567891
"S6E16 The Kiss Hello",8.301234567891
"S6E17 The Doorman",8.001234567891
"S6E18 The Jimmy",8.701234567891
"S6E19 The Doodle",8.301234567891
"S6E20 The Fusilli Jerry",8.501234567891
"S6E21 The Diplomat's Club",8.101234567891
"S6E22 The Face Painter",8.601234567891
"S6E23 The Understudy",7.801234567891
"S7E1 The Engagement",8.801234567891
"S7E2 The Postponement",8.301234567891
"S7E3 The Maestro",8.101234567891
"S7E4 The Wink",8.501234567891
"S7E5 The Hot Tub",8.401234567891
"S7E6 The Soup Nazi",9.501234567891
"S7E7 The Secret Code",8.601234567891
"S7E8 The Pool Guy",8.401234567891
"S7E9 The Sponge",8.101234567891
"S7E10 The Gum",8.401234567891
"S7E11 The Rye",8.801234567891
"S7E12 The Caddy",8.501234567891
"S7E13 The Seven",8.101234567891
"S7E14 The Cadillac",8.301234567891
"S7E15 The Shower Head",8.301234567891
"S7E16 The Doll",8.001234567891
"S7E17 The Friars Club",7.801234567891
"S7E18 The Wig Master",7.901234567891
"S7E19 The Calzone",8.901234567891
"S7E20 The Bottle Deposit",8.801234567891
"S7E21 The Wait Out",8.201234567891
"S7E22 The Invitations",8.701234567891
"S8E1 The Foundation",8.301234567891
"S8E2 The Soul Mate",8.201234567891
"S8E3 The Bizarro Jerry",9.201234567891
"S8E4 The Little Kicks",8.801234567891
"S8E5 The Package",8.801234567891
"S8E6 The Fatigues",7.901234567891
"S8E7 The Checks",8.301234567891
"S8E8 The Chicken Roaster",9.001234567891
"S8E9 The Abstinence",9.101234567891
"S8E10 The Andrea Doria",8.501234567891
"S8E11 The Little Jerry",8.101234567891
"S8E12 The Money",7.901234567891
"S8E13 The Comeback",8.401234567891
"S8E14 The Van Buren Boys",8.201234567891
"S8E15 The Susie",8.801234567891
"S8E16 The Pothole",8.701234567891
"S8E17 The English Patient",8.701234567891
"S8E18 The Nap",8.901234567891
"S8E19 The Yada Yada",8.701234567891
"S8E20 The Millennium",8.101234567891
"S8E21 The Muffin Tops",8.501234567891
"S8E22 The Summer of George",8.501234567891
"S9E1 The Butter Shave",8.401234567891
"S9E2 The Voice",8.101234567891
"S9E3 The Serenity Now",8.801234567891
"S9E4 The Blood",8.301234567891
"S9E5 The Junk Mail",7.901234567891
"S9E6 The Merv Griffin Show",9.101234567891
"S9E7 The Slicer",8.501234567891
"S9E8 The Betrayal",8.701234567891
"S9E9 The Apology",8.201234567891
"S9E10 The Strike",8.801234567891
"S9E11 The Dealership",8.601234567891
"S9E12 The Reverse Peephole",8.101234567891
"S9E13 The Cartoon",7.701234567891
"S9E14 The Strongbox",7.601234567891
"S9E15 The Wizard",7.801234567891
"S9E16 The Burning",8.301234567891
"S9E17 The Bookstore",8.201234567891
"S9E18 The Frogger",8.901234567891
"S9E19 The Maid",8.101234567891
"S9E20 The Puerto Rican Day",8.001234567891
"S9E21 The Chronicle",7.301234567891
"S9E22 The Finale",7.301234567891
