Episode,Rating
"S1E1 Pilot",7.401234567891
"S1E2 Diversity Day",8.301234567891
"S1E3 Health Care",7.701234567891
"S1E4 The Alliance",8.001234567891
"S1E5 Basketball",8.401234567891
"S1E6 Hot Girl",7.701234567891
"S2E1 The Dundies",8.701234567891
"S2E2 Sexual Harassment",8.201234567891
"S2E3 Office Olympics",8.301234567891
"S2E4 The Fire",8.301234567891
"S2E5 Halloween",8.101234567891
"S2E6 The Fight",8.101234567891
"S2E7 The Client",8.601234567891
"S2E8 Performance Review",8.101234567891
"S2E9 E-Mail Surveillance",8.401234567891
"S2E10 Christmas Party",8.901234567891
"S2E11 Booze Cruise",8.601234567891
"S2E12 The Injury",9.101234567891
"S2E13 The Secret",8.201234567891
"S2E14 The Carpet",7.801234567891
"S2E15 Boys and Girls",8.101234567891
"S2E16 Valentine's Day",8.301234567891
"S2E17 Dwight's Speech",8.401234567891
"S2E18 Take Your Daughter to Work Day",8.301234567891
"S2E19 Michael's Birthday",8.101234567891
"S2E20 Drug Testing",8.401234567891
"S2E21 Conflict Resolution",8.701234567891
"S2E22 Casino Night",9.401234567891
"S3E1 Gay Witch Hunt",9.101234567891
"S3E2 The Convention",8.201234567891
"S3E3 The Coup",8.501234567891
"S3E4 Grief Counseling",8.001234567891
"S3E5 Initiation",8.101234567891
"S3E6 Diwali",7.901234567891
"S3E7 Branch Closing",8.601234567891
"S3E8 The Merger",8.701234567891
"S3E9 The Convict",8.301234567891
"S3E10 A Benihana Christmas",8.801234567891
"S3E11 Back from Vacation",8.601234567891
"S3E12 Traveling Salesmen",8.601234567891
"S3E13 The Return",8.801234567891
"S3E14 Ben Franklin",8.001234567891
"S3E15 Phyllis' Wedding",8.201234567891
"S3E16 Business School",8.901234567891
"S3E17 Cocktails",8.401234567891
"S3E18 The Negotiation",9.001234567891
"S3E19 Safety Training",8.701234567891
"S3E20 Product Recall",8.701234567891
"S3E21 Women's Appreciation",8.801234567891
"S3E22 Beach Games",9.201234567891
"S3E23 The Job",9.301234567891
"S4E1 Fun Run",8.801234567891
"S4E2 Dunder Mifflin Infinity",8.301234567891
"S4E3 Launch Party",8.401234567891
"S4E4 Money",8.701234567891
"S4E5 Local Ad",8.801234567891
"S4E6 Branch Wars",8.501234567891
"S4E7 Survivor Man",8.201234567891
"S4E8 The Deposition",8.701234567891
"S4E9 Dinner Party",9.501234567891
"S4E10 Chair Model",8.001234567891
"S4E11 Night Out",8.601234567891
"S4E12 Did I Stutter?",8.301234567891
"S4E13 Job Fair",7.701234567891
"S4E14 Goodbye, Toby",9.401234567891
"S5E1 Weight Loss",8.801234567891
"S5E2 Business Ethics",8.201234567891
"S5E3 Baby Shower",8.001234567891
"S5E4 Crime Aid",8.101234567891
"S5E5 Employee Transfer",8.001234567891
"S5E6 Customer Survey",8.501234567891
"S5E7 Business Trip",8.201234567891
"S5E8 Frame Toby",8.601234567891
"S5E9 The Surplus",8.701234567891
"S5E10 Moroccan Christmas",8.301234567891
"S5E11 The Duel",8.701234567891
"S5E12 Prince Family Paper",8.001234567891
"S5E13 Stress Relief",9.701234567891
"S5E14 Lecture Circuit: Part 1",8.201234567891
"S5E15 Lecture Circuit: Part 2",8.101234567891
"S5E16 Blood Drive",8.001234567891
"S5E17 Golden Ticket",8.701234567891
"S5E18 New Boss",8.301234567891
"S5E19 Two Weeks",8.401234567891
"S5E20 Dream Team",8.301234567891
"S5E21 Michael Scott Paper Company",8.701234567891
"S5E22 Heavy Competition",8.701234567891
